Sample,Longitude,Latitude,Date,Time,Site,Location,Zone,Status,Depth,Successful.count,Successful.length,Observer,inclusion.probabilities,,,
M79,159.0314,-29.46457,20200202,16:37:00,M79,Middleton,Outside,No-take,-65.07501221,Yes,Yes,Kristy,0.079878147,,,
M81,159.09435,-29.45236,20200201,8:23:00,M81,Middleton,Lagoon,No-take,-2.443786,Yes,Yes,Joel,0.072238902,,,
M83,159.08849,-29.40349,20200201,9:01:00,M83,Middleton,Outside,No-take,-86.25105286,Yes,Yes,Kristy,0.079878147,,,
M84,159.07688,-29.46049,20200202,8:15:00,M84,Middleton,Lagoon,No-take,-0.3533174,Yes,Yes,Joel,0.034260602,,,
M85,159.11877,-29.43483,20200201,14:03:00,M85,Middleton,Lagoon,No-take,0.8734528,Yes,Yes,Joel,0.034260602,,,
M87,159.06839,-29.41163,20200201,8:44:00,M87,Middleton,Outside,No-take,-94.45384216,Yes,Yes,Kristy,0.079878147,,,
M92,159.0801,-29.49307,20200203,9:25:00,M92,Middleton,Outside,No-take,-55.60435486,Yes,Yes,Kristy,0.079878147,,,
M95,159.11154,-29.46742,20200131,8:50:00,M95,Middleton,Lagoon,No-take,0.3652124,Yes,Yes,Joel,0.045325403,,,
M98,159.09055,-29.46865,20200131,10:16:00,M98,Middleton,Lagoon,No-take,-0.2372738,Yes,Yes,Joel,0.034260602,,,
N1,159.09381,-29.49738,20200202,11:10:00,N1,Middleton,Outside,No-take,-92.203125,Yes,Yes,Kristy,0,,,
N2,159.09998,-29.49625,20200202,11:15:00,N2,Middleton,Outside,No-take,-84.93287659,Yes,Yes,Kristy,0,,,
N3,159.10886,-29.49459,20200202,11:19:00,N3,Middleton,Outside,No-take,-82.91136169,Yes,Yes,Kristy,0,,,
N4,159.11399,-29.49457,20200202,11:25:00,N4,Middleton,Outside,No-take,-93.37646484,Yes,Yes,Kristy,0,,,
N5,159.12234,-29.49116,20200202,11:30:00,N5,Middleton,Outside,No-take,-85.5243988,Yes,Yes,Kristy,0,,,
