Camera Details

Generated: Thursday 02 November 2023 13:59:30

OpCode	TapeReader	Depth	Comment	Latitude	Longitude	Date	Time	MPAStatus	Site	Year	Spare	Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
DB_049	Scott Gray	28	No lights	-38.3741437	141.3552221	13/03/2023	9:53	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94203	0.002850	0.002850	-301.099	0.000	0.000	-0.443	-5.031	-0.006
DB_049	Scott Gray	28	No lights	-38.3741437	141.3552221	13/03/2023	9:53	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94233	0.002850	0.002850	301.099	0.000	0.000	0.443	5.494	1.039
DB_050	Grace Cosgriff-Camm	18	No lights	-38.3680438	141.36198	14/03/2023	11:15	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93727	0.002850	0.002850	-301.619	0.000	0.000	0.385	-5.215	0.795
DB_050	Grace Cosgriff-Camm	18	No lights	-38.3680438	141.36198	14/03/2023	11:15	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93816	0.002850	0.002850	301.619	0.000	0.000	-0.385	5.330	0.647
DB_051	Louisa Graf 	20	No lights	-38.3468156	141.38407	14/03/2023	13:57	Fished	Discovery Bay 	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92509	0.002850	0.002850	-301.826	0.000	0.000	-0.285	-4.864	1.679
DB_051	Louisa Graf 	20	No lights	-38.3468156	141.38407	14/03/2023	13:57	Fished	Discovery Bay 	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94302	0.002850	0.002850	301.826	0.000	0.000	0.285	4.400	1.041
DB_052	Scott Gray	29	No lights	-38.3545316	141.359255	12/03/2023	12:13	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94094	0.002850	0.002850	-301.465	0.000	0.000	-0.224	-6.112	-0.468
DB_052	Scott Gray	29	No lights	-38.3545316	141.359255	12/03/2023	12:13	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93341	0.002850	0.002850	301.465	0.000	0.000	0.224	3.830	-0.498
DB_053	Louisa Graf	28	No lights	-38.3676801	141.3565627	14/03/2023	10:00	No take	Discovery Bay 	2023	 	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93727	0.002850	0.002850	-301.619	0.000	0.000	0.385	-5.215	0.795
DB_053	Louisa Graf	28	No lights	-38.3676801	141.3565627	14/03/2023	10:00	No take	Discovery Bay 	2023	 	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93816	0.002850	0.002850	301.619	0.000	0.000	-0.385	5.330	0.647
DB_055	Scott Gray	26	No lights	-38.3822112	141.3545926	13/03/2023	9:47	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93818	0.002850	0.002850	-301.032	0.000	0.000	0.022	-5.604	0.516
