CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,ReportID,Year,Site.type,Comments,Year
2022-02_PortPhillipBay,PPB091,-37.98,145.006,20220302,14:47:00,PPB,Fished,PPB,8.22734,Darcy Cutter,Yes,Yes,2022PPB091,2022,PPB ROV Sampling,Y,2022
2022-02_PortPhillipBay,PPB092,-37.8866,144.9426,20220405,14:04:00,PPB,Fished,PPB,8.27,Scott Gray,Yes,Yes,2022PPB092,2022,TNC Shellfish Reefs,Y,2022
2022-02_PortPhillipBay,PPB093,-38.30606,144.64868,20220405,11:19:00,PPB,No-take,PPB,8.34132,Scott Gray,Yes,Yes,2022PPB093,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB094,-37.925,144.819,20220404,10:41:00,PPB,Fished,PPB,8.51,Scott Gray,Yes,Yes,2022PPB094,2022,PPB ROV Sampling,Y,2022
2022-02_PortPhillipBay,PPB095,-38.20507,144.746,20220216,16:17:00,PPB,Fished,PPB,8.62409,Scott Gray,Yes,Yes,2022PPB095,2022,VFA Acoustic Receivers,Y,2022
2022-02_PortPhillipBay,PPB096,-38.3284953,144.9433552,20220215,15:57:00,PPB,Fished,PPB,8.66361,Scott Gray,Yes,Yes,2022PPB096,2022,TNC Shellfish Reefs,Y,2022
2022-02_PortPhillipBay,PPB097,-38.29031372,144.62858,20220301,11:53:00,PPB,No-take,PPB,8.808,Scott Gray,Yes,Yes,2022PPB097,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB098,-37.943,144.786,20220404,10:29:00,PPB,Fished,PPB,8.82619,Scott Gray,Yes,Yes,2022PPB098,2022,PPB ROV Sampling,Y,2022
2022-02_PortPhillipBay,PPB099,-38.29701025,144.61856,20220409,13:25:00,PPB,No-take,PPB,9.00551,Scott Gray,Yes,Yes,2022PPB099,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB100,-38.320501,144.962665,20220215,16:07:00,PPB,Fished,PPB,9.10435,Scott Gray,Yes,Yes,2022PPB100,2022,TNC Shellfish Reefs,Y,2022
2022-02_PortPhillipBay,PPB101,-38.00255,145.0336167,20220302,14:57:00,PPB,Fished,PPB,9.134,Darcy Cutter,Yes,Yes,2022PPB101,2022,Kade BRUVS,Y,2022
2022-02_PortPhillipBay,PPB102,-37.898404,144.946303,20220405,14:00:00,PPB,Fished,PPB,9.13688,Scott Gray,Yes,Yes,2022PPB102,2022,TNC Shellfish Reefs,Y,2022
2022-02_PortPhillipBay,PPB103,-38.03653333,144.6864333,20220217,10:03:00,PPB,Fished,PPB,9.49576,Scott Gray,Yes,Yes,2022PPB103,2022,Drift algae net sites,Y,2022
2022-02_PortPhillipBay,PPB104,-38.31293797,144.71249,20220216,13:58:00,PPB,No-take,PPB,10.1841,Scott Gray,Yes,No,2022PPB104,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB105,-38.30374041,144.6788,20220215,9:26:00,PPB,No-take,PPB,10.3687,Scott Gray,Yes,Yes,2022PPB105,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB107,-38.30209336,144.64177,20220405,11:16:00,PPB,Fished,PPB,10.5327,Scott Gray,Yes,Yes,2022PPB107,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB108,-37.8968,144.8544,20220404,13:03:00,PPB,Fished,PPB,10.55,Scott Gray,Yes,Yes,2022PPB108,2022,Drift algae net sites,Y,2022
2022-02_PortPhillipBay,PPB109,-38.31381786,144.70908,20220216,13:54:00,PPB,Fished,PPB,10.7557,Scott Gray,Yes,Yes,2022PPB109,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB111,-38.1314,145.097267,20220302,11:41:00,PPB,Fished,PPB,11.0588,Darcy Cutter,Yes,Yes,2022PPB111,2022,Kade BRUVS,Y,2022
2022-02_PortPhillipBay,PPB113,-38.0874167,145.0992167,20220302,11:54:00,PPB,Fished,PPB,11.18,Darcy Cutter,Yes,Yes,2022PPB113,2022,Kade BRUVS,Y,2022
2022-02_PortPhillipBay,PPB114,-38.0998833,145.098367,20220302,11:49:00,PPB,Fished,PPB,11.3,Darcy Cutter,Yes,Yes,2022PPB114,2022,Kade BRUVS,Y,2022
2022-02_PortPhillipBay,PPB115,-37.92902,144.83612,20220404,10:48:00,PPB,Fished,PPB,11.316,Scott Gray,Yes,Yes,2022PPB115,2022,VFA Acoustic Receivers,Y,2022
2022-02_PortPhillipBay,PPB117,-38.34105,144.8532187,20220301,10:04:00,PPB,Fished,PPB,11.353,Scott Gray,Yes,Yes,2022PPB117,2022,Spider Crabs,Y,2022
2022-02_PortPhillipBay,PPB119,-38.215,145.026,20220302,9:40:00,PPB,Fished,PPB,11.4871,Darcy Cutter,Yes,Yes,2022PPB119,2022,PPB ROV Sampling,Y,2022
2022-02_PortPhillipBay,PPB120,-38.1413833,145.0913167,20220302,11:36:00,PPB,Fished,PPB,11.5775,Darcy Cutter,Yes,No,2022PPB120,2022,Kade BRUVS,Y,2022
2022-02_PortPhillipBay,PPB123,-38.30954,144.71446,20220216,14:04:00,PPB,Fished,PPB,12.8816,Scott Gray,Yes,Yes,2022PPB123,2022,RLS,Y,2022
2022-02_PortPhillipBay,PPB124,-38.31449034,144.64858,20220304,11:07:00,PPB,No-take,PPB,12.9277,Darcy Cutter,Yes,Yes,2022PPB124,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB125,-38.31892921,144.65535,20220304,10:58:00,PPB,No-take,PPB,12.9925,Darcy Cutter,Yes,Yes,2022PPB125,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB126,-38.1455,144.750542,20220216,13:09:00,PPB,Fished,PPB,13.1475,Scott Gray,Yes,Yes,2022PPB126,2022,Spider Crabs,Y,2022
2022-02_PortPhillipBay,PPB127,-38.28176565,144.63952,20220215,12:58:00,PPB,Fished,PPB,13.3206,Scott Gray,Yes,No,2022PPB127,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB129,-38.28886255,144.6318,20220215,12:35:00,PPB,No-take,PPB,13.8565,Scott Gray,Yes,Yes,2022PPB129,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB130,-38.31433617,144.65517,20220304,11:04:00,PPB,No-take,PPB,14.3297,Darcy Cutter,Yes,Yes,2022PPB130,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB131,-38.311298,144.710714,20220216,14:01:00,PPB,No-take,PPB,14.5143,Scott Gray,Yes,Yes,2022PPB131,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB132,-38.30727867,144.64562,20220405,11:22:00,PPB,No-take,PPB,15.4009,Scott Gray,Yes,Yes,2022PPB132,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB133,-38.31120127,144.65041,20220405,11:31:00,PPB,No-take,PPB,15.5195,Scott Gray,Yes,Yes,2022PPB133,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB134,-38.30717713,144.6884,20220215,9:32:00,PPB,Fished,PPB,15.7294,Scott Gray,Yes,Yes,2022PPB134,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB136,-38.32152,144.83592,20220301,9:56:00,PPB,Fished,PPB,16.0723,Scott Gray,Yes,Yes,2022PPB136,2022,VFA Acoustic Receivers,Y,2022
2022-02_PortPhillipBay,PPB139,-38.30728215,144.64223,20220405,11:25:00,PPB,No-take,PPB,17.6211,Scott Gray,Yes,Yes,2022PPB139,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB140,-38.25529,144.9551528,20220301,14:19:00,PPB,Fished,PPB,18.0234,Scott Gray,Yes,Yes,2022PPB140,2022,Dredge Spoil Sites,Y,2022
2022-02_PortPhillipBay,PPB142,-37.993904,144.800275,20220216,10:00:00,PPB,Fished,PPB,18.3306,Scott Gray,Yes,Yes,2022PPB142,2022,Anchor Scar Sites,Y,2022
2022-02_PortPhillipBay,PPB143,-38.28681842,144.63566,20220215,12:47:00,PPB,Fished,PPB,18.6722,Scott Gray,Yes,Yes,2022PPB143,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB150,-38.31047267,144.6444,20220405,11:28:00,PPB,No-take,PPB,27.9288,Scott Gray,Yes,Yes,2022PPB150,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB151,-38.298759,144.62303,20220409,13:36:00,PPB,No-take,PPB,10.142378,Scott Gray,Yes,Yes,2022PPB151,2022,Deakin BRUVS,Y,2022
